CountryCode,Reference area,Measure,Water type,Unit of measure,Year,Value,Observation status,Unit multiplier
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,1998,3.4,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,1997,3.4,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,1996,3.7,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,1995,3.3,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,2020,47.936,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2010,6032.872,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2009,6133.878,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2008,6239.286,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2007,6277.336,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2006,6506.745,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2005,6362.281,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2004,6374.343,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2003,6597.023,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2002,6657.813,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2001,6939.657,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2000,7505.075,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,1999,7146.9,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,1998,7417.9,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,1997,7574.6,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,1996,7477.1,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,1995,8247.8,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,1994,7010.0,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2019,3920.025,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2018,3548.782,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2017,3841.469,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2016,4092.085,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2015,3438.9,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2014,4001.858,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2013,4266.41,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2012,4740.659,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2011,4757.203,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2010,5417.281,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2009,5512.66,Normal value,Millions
